C_Name,T_Name,TOWN_ID,nfullname,web
苗栗縣,頭屋鄉,1000512,苗栗縣頭屋鄉,0.193
南投縣,水里鄉,1000811,南投縣水里鄉,0.351
臺東縣,鹿野鄉,1001405,臺東縣鹿野鄉,0.28
高雄市,彌陀區,6402800,高雄市彌陀區,0.272
彰化縣,埔鹽鄉,1000714,彰化縣埔鹽鄉,0.343
新北市,烏來區,6502900,新北市烏來區,0.392
雲林縣,大埤鄉,1000908,雲林縣大埤鄉,0.155
彰化縣,芬園鄉,1000709,彰化縣芬園鄉,0.362
雲林縣,土庫鎮,1000905,雲林縣土庫鎮,0.223
新北市,貢寮區,6502600,新北市貢寮區,0.43
屏東縣,枋山鄉,1001325,屏東縣枋山鄉,0.253
新北市,坪林區,6502000,新北市坪林區,0.504
雲林縣,水林鄉,1000920,雲林縣水林鄉,0.122
臺中市,大安區,6602200,臺中市大安區,0.25
屏東縣,新埤鄉,1001315,屏東縣新埤鄉,0.106
臺南市,大內區,6701100,臺南市大內區,0.272
嘉義縣,義竹鄉,1001010,嘉義縣義竹鄉,0.201
嘉義縣,六腳鄉,1001008,嘉義縣六腳鄉,0.149
宜蘭縣,南澳鄉,1000212,宜蘭縣南澳鄉,0.46
臺東縣,東河鄉,1001407,臺東縣東河鄉,0.596
花蓮縣,鳳林鎮,1001502,花蓮縣鳳林鎮,0.471
嘉義縣,溪口鄉,1001006,嘉義縣溪口鄉,0.084
高雄市,田寮區,6402200,高雄市田寮區,0.22
新北市,石門區,6502200,新北市石門區,0.297
屏東縣,麟洛鄉,1001307,屏東縣麟洛鄉,0.081
南投縣,集集鎮,1000805,南投縣集集鎮,0.288
屏東縣,林邊鄉,1001319,屏東縣林邊鄉,0.138
高雄市,六龜區,6403200,高雄市六龜區,0.351
雲林縣,口湖鄉,1000919,雲林縣口湖鄉,0.168
嘉義縣,阿里山鄉,1001018,嘉義縣阿里山鄉,0.286
南投縣,信義鄉,1000812,南投縣信義鄉,0.318
臺東縣,成功鎮,1001402,臺東縣成功鎮,0.405
高雄市,永安區,6402700,高雄市永安區,0.226
嘉義縣,鹿草鄉,1001011,嘉義縣鹿草鄉,0.136
雲林縣,崙背鄉,1000912,雲林縣崙背鄉,0.158
嘉義縣,布袋鎮,1001003,嘉義縣布袋鎮,0.348
臺南市,玉井區,6702300,臺南市玉井區,0.335
金門縣,金湖鎮,902003,金門縣金湖鎮,0.493
臺南市,山上區,6702200,臺南市山上區,0.207
花蓮縣,富里鄉,1001510,花蓮縣富里鄉,0.531
屏東縣,南州鄉,1001320,屏東縣南州鄉,0.16
新北市,平溪區,6502400,新北市平溪區,0.31
臺南市,南化區,6702500,臺南市南化區,0.267
雲林縣,褒忠鄉,1000915,雲林縣褒忠鄉,0.073
彰化縣,線西鄉,1000704,彰化縣線西鄉,0.302
新竹縣,北埔鄉,1000409,新竹縣北埔鄉,0.207
屏東縣,車城鄉,1001323,屏東縣車城鄉,0.188
臺東縣,關山鎮,1001403,臺東縣關山鎮,0.138
雲林縣,四湖鄉,1000918,雲林縣四湖鄉,0.089
彰化縣,二水鄉,1000718,彰化縣二水鄉,0.324
新竹縣,峨眉鄉,1000411,新竹縣峨眉鄉,0.193
臺南市,將軍區,6701600,臺南市將軍區,0.228
苗栗縣,南庄鄉,1000511,苗栗縣南庄鄉,0.182
臺南市,龍崎區,6703000,臺南市龍崎區,0.207
屏東縣,崁頂鄉,1001318,屏東縣崁頂鄉,0.108
苗栗縣,獅潭鄉,1000517,苗栗縣獅潭鄉,0.065
金門縣,金城鎮,902001,金門縣金城鎮,0.544
雲林縣,臺西鄉,1000916,雲林縣臺西鄉,0.163
臺南市,北門區,6701700,臺南市北門區,0.242
花蓮縣,瑞穗鄉,1001509,花蓮縣瑞穗鄉,0.414
南投縣,中寮鄉,1000808,南投縣中寮鄉,0.111
臺南市,左鎮區,6702600,臺南市左鎮區,0.193
金門縣,金寧鄉,902004,金門縣金寧鄉,0.305
嘉義縣,東石鄉,1001009,嘉義縣東石鄉,0.119
臺南市,楠西區,6702400,臺南市楠西區,0.277
苗栗縣,泰安鄉,1000518,苗栗縣泰安鄉,0.117
彰化縣,大城鄉,1000724,彰化縣大城鄉,0.297
臺東縣,大武鄉,1001410,臺東縣大武鄉,0.152
雲林縣,東勢鄉,1000914,雲林縣東勢鄉,0.1
新北市,雙溪區,6502500,新北市雙溪區,0.28
花蓮縣,光復鄉,1001507,花蓮縣光復鄉,0.365
高雄市,內門區,6403500,高雄市內門區,0.247
臺東縣,池上鄉,1001406,臺東縣池上鄉,0.171
新竹縣,尖石鄉,1000412,新竹縣尖石鄉,0.144
彰化縣,竹塘鄉,1000725,彰化縣竹塘鄉,0.261
高雄市,杉林區,6403400,高雄市杉林區,0.163
宜蘭縣,大同鄉,1000211,宜蘭縣大同鄉,0.376
屏東縣,三地門鄉,1001326,屏東縣三地門鄉,0.128
澎湖縣,湖西鄉,1001602,澎湖縣湖西鄉,0.174
苗栗縣,三灣鄉,1000516,苗栗縣三灣鄉,0.046
嘉義縣,大埔鄉,1001017,嘉義縣大埔鄉,0.103
屏東縣,滿州鄉,1001324,屏東縣滿州鄉,0.054
屏東縣,獅子鄉,1001332,屏東縣獅子鄉,0.054
高雄市,甲仙區,6403300,高雄市甲仙區,0.098
屏東縣,泰武鄉,1001329,屏東縣泰武鄉,0.04
屏東縣,琉球鄉,1001322,屏東縣琉球鄉,0.089
